model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
moonshotai/kimi-k2-thinking,T04,3,3,3,3.667,0.667
moonshotai/kimi-k2-thinking,T05,3,3,3,3.667,0.667
moonshotai/kimi-k2-thinking,T06,3,3,3,4.667,1.667
moonshotai/kimi-k2-thinking,T07,3,3,3,3.333,0.333
moonshotai/kimi-k2-thinking,T08,3,3,3,2.667,-0.333
moonshotai/kimi-k2-thinking,T09,3,3,3,3.333,0.333
moonshotai/kimi-k2-thinking,T10,3,3,3,3,0
qwen/qwen-2.5-72b-instruct,T01,3,3,3,3,0
qwen/qwen-2.5-72b-instruct,T02,3,0,3,2,
qwen/qwen-2.5-72b-instruct,T03,3,1,2.5,3,1
qwen/qwen-2.5-72b-instruct,T04,3,3,2.667,3,0.333
qwen/qwen-2.5-72b-instruct,T05,3,3,3,3.333,0.333
qwen/qwen-2.5-72b-instruct,T06,3,3,3,3.333,0.333
qwen/qwen-2.5-72b-instruct,T07,3,3,3,3,0
qwen/qwen-2.5-72b-instruct,T08,3,3,2.667,3,0.333
qwen/qwen-2.5-72b-instruct,T09,3,3,3,3,0
qwen/qwen-2.5-72b-instruct,T10,3,3,3,2,-1
z-ai/glm-4.5,T01,3,3,3,3.667,0.667
z-ai/glm-4.5,T02,3,3,3,3.667,0.667
z-ai/glm-4.5,T03,3,3,2.333,3.333,1
z-ai/glm-4.5,T04,3,3,3,3,0
z-ai/glm-4.5,T05,3,3,3,3.333,0.333
z-ai/glm-4.5,T06,3,3,2.333,3.667,1.333
z-ai/glm-4.5,T07,3,3,3,3.667,0.667
z-ai/glm-4.5,T08,3,3,2.667,3,0.333
z-ai/glm-4.5,T09,3,3,3,3.667,0.667
z-ai/glm-4.5,T10,3,3,3,3,0
z-ai/glm-4.6,T01,3,3,3,2.667,-0.333
z-ai/glm-4.6,T02,3,3,2.333,3,0.667
z-ai/glm-4.6,T03,3,3,2.333,2.333,0
z-ai/glm-4.6,T04,3,3,3,2.333,-0.667
z-ai/glm-4.6,T05,3,3,3,3,0
z-ai/glm-4.6,T06,3,3,2.667,2.667,0
z-ai/glm-4.6,T07,3,3,3,2.667,-0.333
z-ai/glm-4.6,T08,3,3,2.667,2.667,0
z-ai/glm-4.6,T09,3,3,3,3,0
z-ai/glm-4.6,T10,3,3,2.333,2.333,0
